country;countryCode;iso3;region;col;row
Canada;CAN;CAN;North America;0;0
Greenland;GRL;GRL;Europe;9;0
Iceland;ISL;ISL;Europe;12;0
Denmark;DNK;DNK;Europe;15;0
Norway;NOR;NOR;Europe;16;0
Sweden;SWE;SWE;Europe;17;0
Finland;FIN;FIN;Europe;18;0
USA;USA;USA;North America;0;1
Bermuda;BMU;BMU;Caribbean;3;1
Bahamas;BHS;BHS;Caribbean;4;1
Faroe Islands;FRO;FRO;Europe;11;1
Estonia;EST;EST;Europe;18;1
Mexico;MEX;MEX;North America;0;2
Belize;BLZ;BLZ;Central America;1;2
Cuba;CUB;CUB;Caribbean;4;2
Ireland;IRL;IRL;Europe;11;2
United Kingdom;GBR;GBR;Europe;12;2
Latvia;LVA;LVA;Europe;18;2
Guatemala;GTM;GTM;Central America;0;3
Jamaica;JAM;JAM;Caribbean;4;3
Haiti;HTI;HTI;Caribbean;5;3
Dominican Republic;DOM;DOM;Caribbean;6;3
Antigua & Barbuda;ATG;ATG;Caribbean;7;3
St. Maarten;SXM;SXM;Caribbean;8;3
Netherlands;NLD;NLD;Europe;14;3
Germany;DEU;DEU;Europe;15;3
Poland;POL;POL;Europe;16;3
Lithuania;LTU;LTU;Europe;17;3
Belarus;BLR;BLR;Europe;18;3
Russia;RUS;RUS;Europe;20;3
Chechnya;RU-CE;RU-CE;Europe;21;3
Georgia (Europe);GEO;GEO;Western Asia;22;3
Kazakhstan;KAZ;KAZ;Central Asia;25;3
Mongolia;MNG;MNG;Eastern Asia;27;3
Korea North;PRK;PRK;Eastern Asia;28;3
El Salvador;SLV;SLV;Central America;0;4
Honduras;HND;HND;Central America;1;4
Aruba;ABW;ABW;Caribbean;4;4
Saint Kitts and Nevis;KNA;KNA;Caribbean;6;4
Saint Lucia;LCA;LCA;Caribbean;7;4
British Virgin Islands;VGB;VGB;Caribbean;8;4
France;FRA;FRA;Europe;13;4
Belgium;BEL;BEL;Europe;14;4
Switzerland;CHE;CHE;Europe;15;4
Czech Republic;CZE;CZE;Europe;16;4
Liechtenstein;LIE;LIE;Europe;17;4
Slovakia;SVK;SVK;Europe;18;4
Moldova;MDA;MDA;Europe;19;4
Ukraine;UKR;UKR;Europe;20;4
Armenia;ARM;ARM;Western Asia;22;4
Azerbaijan;AZE;AZE;Western Asia;23;4
Uzbekistan;UZB;UZB;Central Asia;24;4
Kyrgyzstan;KGZ;KGZ;Central Asia;25;4
China;CHN;CHN;Eastern Asia;26;4
Hong Kong;HKG;HKG;Eastern Asia;26;5
Korea South;KOR;KOR;Eastern Asia;28;4
Japan;JPN;JPN;Eastern Asia;30;4
Nicaragua;NIC;NIC;Central America;1;5
Curacao;CUW;CUW;Caribbean;4;5
Puerto Rico;PRI;PRI;Caribbean;6;5
Saint Vincent and the Grenadines;VCT;VCT;Caribbean;7;5
Barbados;BRB;BRB;Caribbean;8;5
Portugal;PRT;PRT;Europe;12;5
Spain;ESP;ESP;Europe;13;5
Luxembourg;LUX;LUX;Europe;14;5
Slovenia;SVN;SVN;Europe;15;5
Austria;AUT;AUT;Europe;16;5
Hungary;HUN;HUN;Europe;17;5
Romania;ROU;ROU;Europe;18;5
Tajikistan;TJK;TJK;Central Asia;25;5
Macao;MAC;MAC;Eastern Asia;27;5
Taiwan;TWN;TWN;Eastern Asia;29;5
Costa Rica;CRI;CRI;Central America;2;6
Dominica;DMA;DMA;Caribbean;7;6
Virgin Islands;VIR;VIR;Caribbean;8;6
Gibraltar;GIB;GIB;Europe;11;6
Andorra;AND;AND;Europe;12;6
Italy;ITA;ITA;Europe;14;6
Croatia;HRV;HRV;Europe;15;6
Bosnia-Herzegovina;BIH;BIH;Europe;16;6
Serbia;SRB;SRB;Europe;17;6
Bulgaria;BGR;BGR;Europe;18;6
Turkey;TUR;TUR;Western Asia;20;6
Syria;SYR;SYR;Western Asia;21;6
Iraq;IRQ;IRQ;Western Asia;22;6
Iran;IRN;IRN;Western Asia;23;6
Turkmenistan;TKM;TKM;Central Asia;24;6
Panama;PAN;PAN;Central America;3;7
Grenada;GRD;GRD;Caribbean;7;7
Guadeloupe;GLP;GLP;Caribbean;8;7
Monaco;MCO;MCO;Europe;13;7
Vatican City;VAT;VAT;Europe;14;7
San Marino;SMR;SMR;Europe;15;7
Montenegro;MNE;MNE;Europe;16;7
Kosovo;XKX;XKX;Europe;17;7
North Macedonia;MKD;MKD;Europe;18;7
Jordan;JOR;JOR;Western Asia;20;7
Kuwait;KWT;KWT;Western Asia;21;7
Afghanistan;AFG;AFG;Southern Asia;24;7
Pakistan;PAK;PAK;Southern Asia;25;7
Colombia;COL;COL;South America;4;8
Venezuela;VEN;VEN;South America;5;8
Trinidad & Tobago;TTO;TTO;Caribbean;6;8
Martinique;MTQ;MTQ;Caribbean;8;8
Malta;MLT;MLT;Europe;14;8
Albania;ALB;ALB;Europe;16;8
Greece;GRC;GRC;Europe;17;8
North Cyprus;CYP;CYP;Western Asia;19;8
Lebanon;LBN;LBN;Western Asia;20;8
Saudi Arabia;SAU;SAU;Western Asia;21;8
Bahrain;BHR;BHR;Western Asia;22;8
India;IND;IND;Southern Asia;25;8
Nepal;NPL;NPL;Southern Asia;26;8
Bhutan;BTN;BTN;Southern Asia;27;8
Vietnam;VNM;VNM;South East Asia;30;8
Ecuador;ECU;ECU;South America;4;9
Guyana;GUY;GUY;South America;5;9
Suriname;SUR;SUR;South America;6;9
Brazil;BRA;BRA;South America;7;9
Cyprus;CYP;CYP;Western Asia;19;9
Israel;ISR;ISR;Western Asia;20;9
Qatar;QAT;QAT;Western Asia;21;9
United Arab Emirates;ARE;ARE;Western Asia;22;9
Sri Lanka;LKA;LKA;Southern Asia;25;9
Bangladesh;BGD;BGD;Southern Asia;27;9
Myanmar;MMR;MMR;South East Asia;28;9
Laos;LAO;LAO;South East Asia;29;9
Cambodia;KHM;KHM;South East Asia;30;9
Peru;PER;PER;South America;4;10
Bolivia;BOL;BOL;South America;5;10
Morocco;MAR;MAR;Africa;13;10
Algeria;DZA;DZA;Africa;14;10
Tunisia;TUN;TUN;Africa;15;10
Libya;LBY;LBY;Africa;16;10
Egypt;EGY;EGY;Africa;17;10
Oman;OMN;OMN;Western Asia;22;10
Thailand;THA;THA;South East Asia;29;10
Philippines;PHL;PHL;South East Asia;31;10
Paraguay;PRY;PRY;South America;5;11
Uruguay;URY;URY;South America;6;11
Mauritania;MRT;MRT;Africa;12;11
Gambia;GMB;GMB;Africa;13;11
Senegal;SEN;SEN;Africa;14;11
Mali;MLI;MLI;Africa;15;11
Niger;NER;NER;Africa;16;11
Sudan;SDN;SDN;Africa;17;11
Yemen;YEM;YEM;Western Asia;20;11
Maldives;MDV;MDV;Southern Asia;24;11
Malaysia;MYS;MYS;South East Asia;29;11
Brunei;BRN;BRN;South East Asia;31;11
Chile;CHL;CHL;South America;5;12
Guinea-Bissau;GNB;GNB;Africa;13;12
Sierra Leone;SLE;SLE;Africa;14;12
Burkina Faso;BFA;BFA;Africa;15;12
Chad;TCD;TCD;Africa;16;12
South Sudan;SSD;SSD;Africa;17;12
Eritrea;ERI;ERI;Africa;18;12
Djibouti;DJI;DJI;Africa;19;12
Somalia;SOM;SOM;Africa;20;12
Singapore;SGP;SGP;South East Asia;30;12
Indonesia;IDN;IDN;South East Asia;31;12
East Timor;TLS;TLS;South East Asia;32;12
Argentina;ARG;ARG;South America;5;13
Guinea;GIN;GIN;Africa;13;13
Liberia;LBR;LBR;Africa;14;13
Ghana;GHA;GHA;Africa;15;13
Togo;TGO;TGO;Africa;16;13
Benin;BEN;BEN;Africa;17;13
Central African Rep.;CAF;CAF;Africa;18;13
Ethiopia;ETH;ETH;Africa;19;13
Indonesia/Aceh;IDN;IDN;South East Asia;31;13
Cabo Verde;CPV;CPV;Africa;12;14
Ivory Coast;CIV;CIV;Africa;14;14
Nigeria;NGA;NGA;Africa;16;14
Cameroon;CMR;CMR;Africa;17;14
Dem.Rep. of Congo;COD;COD;Africa;18;14
Uganda;UGA;UGA;Africa;19;14
Kenya;KEN;KEN;Africa;20;14
Sao Tome and Principe;STP;STP;Africa;13;15
Equatorial Guinea;GNQ;GNQ;Africa;16;15
Republic of the Congo;COG;COG;Africa;17;15
Burundi;BDI;BDI;Africa;18;15
Rwanda;RWA;RWA;Africa;19;15
Tanzania;TZA;TZA;Africa;20;15
Guam;GUM;GUM;Oceania;32;15
Angola;AGO;AGO;Africa;16;16
Gabon;GAB;GAB;Africa;17;16
Malawi;MWI;MWI;Africa;18;16
Mozambique;MOZ;MOZ;Africa;19;16
Seychelles;SYC;SYC;Africa;22;16
Marshall Islands;MHL;MHL;Oceania;32;16
Zambia;ZMB;ZMB;Africa;17;17
Botswana;BWA;BWA;Africa;18;17
Zimbabwe;ZWE;ZWE;Africa;19;17
Comoros Islands;COM;COM;Africa;21;17
Palau;PLW;PLW;Oceania;31;17
Micronesia;FSM;FSM;Oceania;32;17
Namibia;NAM;NAM;Africa;18;18
Eswatini;SWZ;SWZ;Africa;19;18
Lesotho;LSO;LSO;Africa;20;18
Madagascar;MDG;MDG;Africa;22;18
Mauritius;MUS;MUS;Africa;23;18
Papua New Guinea;PNG;PNG;Oceania;31;18
Kiribati;KIR;KIR;Oceania;33;18
South Africa;ZAF;ZAF;Africa;19;19
Cook Islands;COK;COK;Oceania;30;19
Solomon Islands;SLB;SLB;Oceania;31;19
Tuvalu;TUV;TUV;Oceania;32;19
Samoa;WSM;WSM;Oceania;33;19
Reunion;REU;REU;Africa;22;20
French Polynesia;PYF;PYF;Oceania;30;20
Vanuatu;VUT;VUT;Oceania;31;20
Fiji;FJI;FJI;Oceania;32;20
Tonga;TON;TON;Oceania;33;20
New Caledonia;NCL;NCL;Oceania;32;21
Australia;AUS;AUS;Oceania;29;22
New Zealand;NZL;NZL;Oceania;32;23
