Ranking 2026;Country;ISO3;Total;Anti-Discrimination Legislation;Marriage / Civil Partnership;Adoption Allowed;Transgender Rights;Intersex / 3rd Option;Equal Age of Consent;Conversion Therapy;LGBT Marketing;Religious Influence;HIV Travel Restrictions;Anti-Gay Laws;Homosexuality Illegal;Pride Banned;Censorship;Locals Hostile;Prosecution;Murders;Death Sentences;col;row
1;Iceland;ISL;14;2;2;2;3;2;0;1;1;0;0;0;0;0;0;1;0;0;0;11;0
2;Malta;MLT;13;2;2;2;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;13;8
2;Spain;ESP;13;2;2;2;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;12;5
4;Belgium;BEL;12;2;2;2;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;13;4
4;Canada;CAN;12;3;2;2;3;1;0;1;1;0;-1;0;0;0;0;0;0;0;0;0;0
4;Germany;DEU;12;2;2;2;3;2;0;1;1;0;0;0;0;0;0;-1;0;0;0;14;3
4;Portugal;PRT;12;3;2;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;11;5
8;New Zealand;NZL;11;2;2;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;30;21
8;Norway;NOR;11;2;2;2;3;-1;0;1;1;0;0;0;0;0;0;1;0;0;0;15;0
8;Switzerland;CHE;11;3;2;2;3;-1;0;1;1;0;0;0;0;0;0;0;0;0;0;14;4
11;Australia;AUS;10;2;2;2;2;1;0;1;1;0;-1;0;0;0;0;0;0;0;0;27;20
11;Chile;CHL;10;2;2;2;3;2;0;1;0;-1;0;0;0;0;0;0;0;-1;0;5;11
11;France;FRA;10;2;2;2;3;-1;0;1;1;0;0;0;0;0;0;0;0;0;0;12;4
11;Uruguay;URY;10;2;2;2;3;1;0;1;0;0;0;0;0;0;0;0;0;-1;0;6;10
15;Austria;AUT;9;2;2;2;2;1;0;-1;1;0;0;0;0;0;0;0;0;0;0;15;5
15;Colombia;COL;9;2;2;2;3;2;0;-1;1;0;0;0;0;0;0;-1;0;-1;0;4;8
15;Cuba;CUB;9;3;2;2;3;1;0;-1;0;0;-1;0;0;0;0;0;0;0;0;4;2
15;Denmark;DNK;9;2;2;2;3;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;14;0
15;Faroe Islands;FRO;9;2;2;2;3;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;10;1
15;Finland;FIN;9;3;2;2;3;-1;0;-1;1;0;0;0;0;0;0;0;0;0;0;17;0
15;French Polynesia;PYF;9;2;2;2;3;-1;0;1;1;-1;0;0;0;0;0;0;0;0;0;28;18
